Carnivore,No allergies/other,Don't like chocolate,Don't like sour candy,Spaghetti,Ice Cream,3,1,A few times per month,Obscure hipster coffee
Carnivore,Shellfish,Cadbury,Don't like sour candy,Spaghetti,Ice Cream,2,3,A few times per week,Starbucks
Omnivore,No allergies/other,Cadbury,Sour Patch,Spaghetti,Froyo,3,4,A few times per month,Dunkin' Donuts
Omnivore,Milk,Hershey's,Don't like sour candy,Bowtie,Froyo,2,3,A few times per month,Starbucks
Omnivore,No allergies/other,Dove,Sour Patch,Bowtie,Ice Cream,3,3,A few times per month,I don't drink coffee
Omnivore,No allergies/other,Cadbury,Sour Patch,Penne,Froyo,3,4,A few times per month,Starbucks
Omnivore,No allergies/other,Cadbury,Don't like sour candy,Penne,Ice Cream,4+,3,A few times per week,Obscure hipster coffee
Omnivore,No allergies/other,Dove,Sour Patch,Bowtie,Cake,3,4,A few times per year,Dunkin' Donuts
Omnivore,No allergies/other,Hershey's,Sour Patch,Penne,Ice Cream,3,3,A few times per week,I don't drink coffee
Omnivore,No allergies/other,Cadbury,Sour Patch,Bowtie,Cake,3,2,A few times per month,I don't drink coffee
Carnivore,No allergies/other,Hershey's,Sour Patch,Spaghetti,Froyo,3,3,A few times per month,Starbucks
Omnivore,No allergies/other,Cadbury,Warheads,Spaghetti,Froyo,3,3,A few times per year,Dunkin' Donuts
Omnivore,No allergies/other,Don't like chocolate,Sour Patch,Spaghetti,Cake,2,4,A few times per week,I don't drink coffee
Vegetarian,No allergies/other,Hershey's,Sour Patch,Penne,Froyo,3,4,A few times per year,I don't drink coffee
Omnivore,No allergies/other,Dove,Sour Patch,Spaghetti,Cake,4+,4,A few times per month,Obscure hipster coffee
Omnivore,No allergies/other,Hershey's,Warheads,Spaghetti,Froyo,3,2,A few times per month,Starbucks
Omnivore,No allergies/other,Hershey's,Sour Patch,Spaghetti,Cake,3,3,A few times per month,Dunkin' Donuts
Vegetarian,No allergies/other,Hershey's,Sour Patch,Bowtie,Froyo,2,4,A few times per month,Dunkin' Donuts
Carnivore,No allergies/other,Hershey's,Sour Patch,Don't like pasta,I don't like desert,2,3,A few times per month,Obscure hipster coffee
Omnivore,No allergies/other,Dove,Don't like sour candy,Penne,Cake,3,4,A few times per year,I don't drink coffee
Omnivore,No allergies/other,Dove,Warheads,Spaghetti,Cake,3,3,A few times per week,Obscure hipster coffee
Omnivore,No allergies/other,Cadbury,Don't like sour candy,Penne,Ice Cream,3,3,A few times per year,I don't drink coffee
Omnivore,No allergies/other,Hershey's,Sour Patch,Spaghetti,Cake,2,3,A few times per month,I don't drink coffee
Omnivore,No allergies/other,Cadbury,Sour Patch,Penne,Cake,2,3,A few times per year,I don't drink coffee
Omnivore,No allergies/other,Hershey's,Warheads,Penne,Froyo,4+,4,A few times per week,Dunkin' Donuts
Carnivore,No allergies/other,Hershey's,Warheads,Penne,Cake,4+,4,A few times per month,Dunkin' Donuts
Omnivore,No allergies/other,Hershey's,Sour Patch,Spaghetti,Cake,2,3,A few times per week,Dunkin' Donuts
Vegetarian,No allergies/other,Dove,Sour Patch,Spaghetti,Ice Cream,3,4,A few times per month,Dunkin' Donuts
Carnivore,No allergies/other,Dove,Warheads,Bowtie,Froyo,3,2,A few times per month,I don't drink coffee
Omnivore,No allergies/other,Dove,Sour Patch,Spaghetti,Ice Cream,3,4,A few times per month,I don't drink coffee
Omnivore,No allergies/other,Dove,Warheads,Bowtie,Ice Cream,3,4,A few times per month,I don't drink coffee
Omnivore,No allergies/other,Dove,Sour Patch,Penne,Ice Cream,3,2,A few times per month,Starbucks
Vegan,Shellfish,Don't like chocolate,Warheads,Don't like pasta,I don't like desert,4+,1,A few times per week,I don't drink coffee
Omnivore,No allergies/other,Hershey's,Sour Patch,Penne,Ice Cream,3,4,A few times per month,Starbucks
Vegan,Milk,Dove,Sour Patch,Penne,Ice Cream,4+,3,A few times per week,I don't drink coffee
